food-id	pubchem-id	references
Plant ID:33125	445354.0	DTU; USDA
Plant ID:33125	493570.0	DTU; USDA; DUKE
Plant ID:33125	923.0	DTU; USDA; DUKE
Plant ID:33125	6202.0	DTU
Plant ID:33125	962.0	DTU; USDA; DUKE
Plant ID:33125	32051.0	DTU; USDA
Plant ID:33125	5280934.0	DTU; DUKE
Plant ID:33125	5280489.0	DTU; USDA; DUKE
Plant ID:33125	247.0	USDA
Plant ID:33125	247.0	USDA
Plant ID:33125	305.0	USDA
Plant ID:33125	439709.0	DTU
Plant ID:33125	5793.0	DTU
Plant ID:33125	807.0	DTU; DUKE
Plant ID:33125	5280483.0	DTU; USDA
Plant ID:33125	107674.0	DTU; USDA
Plant ID:33125	1130.0	USDA
Plant ID:33125	1130.0	DUKE
Plant ID:33125	14985.0	DTU; USDA; DUKE
Plant ID:33125	222284.0	DUKE
Plant ID:33125	171548.0	DTU
Plant ID:33125	10467.0	DTU; DUKE
Plant ID:33125	11197.0	DTU; DUKE
Plant ID:33125	5991.0	DUKE
Plant ID:33125	5991.0	DUKE
Plant ID:33125	2346.0	DUKE
Plant ID:33125	2346.0	DUKE
Plant ID:33125	445639.0	DUKE
Plant ID:33125	637775.0	DUKE; KNAPSACK
Plant ID:33125	104729.0	DUKE
Plant ID:33125	5281654.0	PHENOL EXPLORER
Plant ID:33125	11617.0	DUKE
Plant ID:33125	445638.0	DTU
Plant ID:33125	135191.0	DUKE
Plant ID:33125	25310.0	DUKE
Plant ID:33125	53477911.0	DUKE
Plant ID:33125	8215.0	DUKE
Plant ID:33125	8215.0	DUKE
Plant ID:33125	9601691.0	KNAPSACK
Plant ID:33125	656546.0	KNAPSACK
Plant ID:33125	15560248.0	KNAPSACK
Plant ID:33125	9573945.0	DUKE; KNAPSACK
Plant ID:33125	6911854.0	KNAPSACK
Plant ID:33125	656566.0	KNAPSACK
Plant ID:33125	9576416.0	KNAPSACK
Plant ID:33125	5281116.0	DTU; DUKE
Plant ID:33125	5280385.0	KNAPSACK
Plant ID:33125	8794.0	DUKE
Plant ID:33125	8794.0	DUKE
Plant ID:33125	9576649.0	KNAPSACK
Plant ID:33125	84740.0	DUKE
Plant ID:33125	439195.0	DUKE
Plant ID:33125	44237258.0	KNAPSACK
Plant ID:33125	44237258.0	KNAPSACK
Plant ID:33125	18170.0	DUKE
Plant ID:33125	18170.0	DUKE
Plant ID:33125	181236.0	KNAPSACK
Plant ID:33125	220434.0	KNAPSACK
Plant ID:33125	251610.0	KNAPSACK
Plant ID:33125	1175.0	DUKE
Plant ID:385388	985.0	USDA
Plant ID:385388	5281.0	USDA
Plant ID:385388	3893.0	USDA
Plant ID:385388	11005.0	USDA
Plant ID:237934	5460584.0	USDA
Plant ID:237934	5460584.0	USDA
Plant ID:237934	271.0	USDA
Plant ID:237934	271.0	USDA
Plant ID:237934	27284.0	USDA
Plant ID:237934	27284.0	USDA
Plant ID:237934	644104.0	USDA
Plant ID:237934	644104.0	USDA
Plant ID:237934	938.0	USDA
Plant ID:237934	938.0	USDA
Plant ID:237934	5462309.0	USDA
Plant ID:237934	5462309.0	USDA
Plant ID:237934	813.0	USDA
Plant ID:237934	813.0	USDA
Plant ID:237934	445354.0	USDA
Plant ID:237934	445354.0	USDA
Plant ID:237934	493570.0	USDA
Plant ID:237934	493570.0	USDA
Plant ID:237934	923.0	USDA
Plant ID:237934	923.0	USDA
Plant ID:237934	962.0	USDA
Plant ID:66014	5991.0	DUKE
Plant ID:66014	650.0	DUKE
Plant ID:66014	22311.0	DUKE
Plant ID:66014	2758.0	DUKE
Plant ID:66014	7362.0	DUKE
Plant ID:66014	9017.0	DUKE
Plant ID:66014	10430.0	DUKE
Plant ID:66014	11552.0	DUKE
Plant ID:66014	170833.0	DUKE
Plant ID:180763	5460584.0	DTU; DUKE
Plant ID:180763	271.0	DTU; DUKE
Plant ID:180763	27099.0	DTU; DUKE
Plant ID:180763	6037.0	DTU
Plant ID:180763	27284.0	DTU; DUKE
Plant ID:180763	644104.0	DTU; DUKE
Plant ID:180763	6305.0	DTU
Plant ID:180763	888.0	DTU; DUKE
Plant ID:180763	6508.0	DUKE
Plant ID:180763	6508.0	DUKE
Plant ID:180763	5280899.0	DUKE
Plant ID:180763	5280899.0	DUKE
Plant ID:180763	22833652.0	DUKE
Plant ID:180763	1794427.0	DUKE
Plant ID:180763	68247.0	DUKE
Plant ID:180763	439709.0	DTU; DUKE
Plant ID:180763	68245.0	DUKE
Plant ID:180763	72276.0	DUKE
Plant ID:180763	807.0	DTU
Plant ID:180763	5280804.0	DUKE
Plant ID:180763	6433159.0	DUKE
Plant ID:180763	27668.0	DTU; DUKE
Plant ID:180763	243.0	DUKE
Plant ID:180763	370.0	DUKE
Plant ID:180763	135.0	DUKE
Plant ID:180763	176.0	DUKE
Plant ID:180763	104727.0	DUKE
Plant ID:180763	104734.0	DUKE
Plant ID:180763	5462311.0	DUKE
Plant ID:180763	24408.0	DUKE
Plant ID:180763	31193.0	DUKE
Plant ID:180763	1549111.0	PHENOL EXPLORER; DUKE
Plant ID:180763	525.0	DUKE
Plant ID:180763	5282102.0	DUKE
Plant ID:180763	104729.0	DUKE
Plant ID:180763	4481259.0	DUKE; KNAPSACK
Plant ID:180763	311.0	DUKE
Plant ID:180763	5281168.0	DUKE
Plant ID:180763	5281168.0	DUKE
Plant ID:180763	240.0	DUKE
Plant ID:180763	264.0	DTU; DUKE
Plant ID:180763	28179.0	DUKE
Plant ID:180763	73212.0	DUKE
Plant ID:180763	22311.0	DUKE
Plant ID:180763	6276.0	DUKE
Plant ID:180763	6276.0	DUKE
Plant ID:180763	7704.0	DUKE
Plant ID:180763	7945.0	DUKE
Plant ID:180763	6549.0	DUKE
Plant ID:180763	2758.0	DUKE
Plant ID:180763	2758.0	DUKE
Plant ID:180763	3314.0	DUKE
Plant ID:180763	637566.0	DUKE
Plant ID:180763	5281643.0	DUKE
Plant ID:180763	853433.0	DUKE
Plant ID:180763	8103.0	DUKE
Plant ID:180763	8103.0	DUKE
Plant ID:180763	637511.0	DUKE
Plant ID:180763	12813.0	DUKE
Plant ID:180763	3469.0	DUKE
Plant ID:180763	736186.0	DUKE
Plant ID:180763	8314.0	DUKE
Plant ID:180763	2879.0	DUKE
Plant ID:180763	72277.0	DUKE
Plant ID:180763	68171.0	DUKE
Plant ID:180763	19602.0	DUKE
Plant ID:180763	263.0	DUKE
Plant ID:180763	263.0	DUKE
Plant ID:180763	6568.0	DUKE
Plant ID:180763	6568.0	DUKE
Plant ID:180763	6054.0	DUKE
Plant ID:180763	8842.0	DUKE
Plant ID:180763	441699.0	DUKE; KNAPSACK
Plant ID:180763	65084.0	DUKE
Plant ID:180763	179.0	DUKE
Plant ID:180763	8892.0	DTU; DUKE
Plant ID:180763	244.0	DUKE
Plant ID:180763	7654.0	DUKE
Plant ID:180763	13915667.0	DUKE; KNAPSACK
Plant ID:180763	785.0	DUKE
Plant ID:180763	24020.0	DUKE
Plant ID:180763	440936.0	DUKE
Plant ID:180763	25087690.0	DUKE
Plant ID:180763	12308704.0	DUKE
Plant ID:180763	547.0	DUKE
Plant ID:180763	31234.0	DUKE
Plant ID:180763	10441857.0	DUKE
Plant ID:180763	7420.0	DUKE
Plant ID:180763	7711.0	DUKE
Plant ID:180763	873.0	DUKE
Plant ID:180763	16821.0	DUKE
Plant ID:180763	12810.0	DUKE
Plant ID:180763	84298.0	DUKE
Plant ID:180763	433955.0	DUKE
Plant ID:180766	5280343.0	PHENOL EXPLORER
Plant ID:180766	637542.0	PHENOL EXPLORER
Plant ID:180766	1794427.0	PHENOL EXPLORER
Plant ID:180766	135.0	PHENOL EXPLORER
Plant ID:180766	1549111.0	PHENOL EXPLORER
Plant ID:180767	5460584.0	USDA
Plant ID:180767	5460584.0	USDA
Plant ID:180767	271.0	USDA
Plant ID:180767	271.0	USDA
Plant ID:180767	27284.0	USDA
Plant ID:180767	27284.0	USDA
Plant ID:180767	644104.0	USDA
Plant ID:180767	644104.0	USDA
Plant ID:180767	888.0	USDA
Plant ID:180767	888.0	USDA
Plant ID:180767	938.0	USDA
Plant ID:180767	938.0	USDA
Plant ID:180767	5462309.0	USDA
Plant ID:180767	5462309.0	USDA
Plant ID:180767	813.0	USDA
Plant ID:180767	813.0	USDA
Plant ID:180767	445354.0	USDA
Plant ID:180767	445354.0	USDA
