pmid	food-id	disease-id	association
16629010	Plant ID:3755	MESH:D012480	Negative
16629010	Plant ID:3755	MESH:D012480	Negative
16650094	Plant ID:98504	MESH:D004342	Negative
16650094	Plant ID:50225	MESH:D004342	Negative
16651729	Plant ID:228726	MESH:D010146	Positive
28152992	Plant ID:4097	MESH:D008175	Negative
28160865	Plant ID:49556	MESH:D002318	Positive
28160865	Plant ID:49556	MESH:D009369	Positive
28024620	Plant ID:89151	MESH:D007239	Positive
9730149	Plant ID:3847	MESH:D011471	Positive
9744532	Plant ID:136217	MESH:D009369	Positive
9744532	Plant ID:136217	MESH:D063646	Positive
9747721	Plant ID:32101	MESH:D013540	Negative
9747721	Plant ID:32101	MESH:D001749	Negative
12367786	Plant ID:4097	MESH:D008175	Negative
3031879	Plant ID:4565	MESH:D007410	Positive
3035151	Plant ID:4530	MESH:D003110	Positive
26462802	Plant ID:49992	MESH:D014006	Positive
24301730	Plant ID:22663	MESH:D006528	Positive
24308360	Plant ID:161756	MESH:D005334	Positive
24311512	Plant ID:113208	MESH:D004194	Positive
24312793	Plant ID:94328	MESH:D007239	Positive
24319318	Plant ID:3483	MESH:D001008	Negative
24319318	Plant ID:3483	MESH:D001008	Negative
24319318	Plant ID:3483	MESH:D001008	Negative
7626734	Plant ID:4097	MESH:D003327	Negative
7628179	Plant ID:37656	MESH:D008103	Positive
7631594	Plant ID:3818	MESH:D004342	Negative
7633286	Plant ID:4097	MESH:D002294	Negative
7645968	Plant ID:3847	MESH:D008175	Positive
7645968	Plant ID:4054	MESH:D008175	Positive
7649665	Plant ID:172200	MESH:D006333	Positive
27992725	Plant ID:4097	MESH:D003643	Negative
8924909	Plant ID:3708	MESH:D001523	Negative
8924909	Plant ID:3708	MESH:D001523	Negative
27355245	Plant ID:4097	MESH:D007938	Negative
17637469	Plant ID:3818	MESH:D004342	Negative
17637469	Plant ID:3818	MESH:D004342	Negative
7375420	Plant ID:4577	MESH:D003967	Negative
18324332	Plant ID:4097	MESH:D029424	Negative
18324332	Plant ID:4097	MESH:D011660	Negative
18325630	Plant ID:3888	MESH:D003920	Positive
18337048	Plant ID:99300	MESH:D015427	Positive
28376899	Plant ID:4498	MESH:D006938	Positive
29131356	Plant ID:4565	MESH:D000707	Negative
29131356	Plant ID:4565	MESH:D004342	Negative
29131356	Plant ID:4550	MESH:D004342	Negative
29131356	Plant ID:4513	MESH:D004342	Negative
29131356	Plant ID:4498	MESH:D004342	Negative
27098997	Plant ID:4222	MESH:D006331	Positive
16766410	Plant ID:4097	MESH:D003643	Negative
16779096	Plant ID:4097	MESH:D003643	Negative
16782541	Plant ID:5322	MESH:D009369	Positive
16783690	Plant ID:4722	MESH:D011470	Positive
16783690	Plant ID:4722	MESH:D011471	Positive
16783690	Plant ID:4722	MESH:D011471	Positive
16783690	Plant ID:3663	MESH:D011470	Positive
16783690	Plant ID:3663	MESH:D011471	Positive
16783690	Plant ID:3663	MESH:D011471	Positive
28507563	Plant ID:13443	MESH:D000544	Positive
28507563	Plant ID:13443	MESH:D010300	Positive
28507945	Plant ID:4682	MESH:D007239	Positive
28507945	Plant ID:4683	MESH:D007239	Positive
18567279	Plant ID:71647	MESH:D010146	Positive
18567279	Plant ID:71647	MESH:D004412	Positive
18567703	Plant ID:4054	MESH:D002318	Positive
18569591	Plant ID:4097	MESH:D018307	Negative
21086179	Plant ID:3559	MESH:D012130	Negative
21086179	Plant ID:3559	MESH:D012130	Negative
20880210	Plant ID:3818	MESH:D005512	Negative
6258722	Plant ID:3860	MESH:D007842	Negative
23766852	Plant ID:174650	MESH:D004194	Positive
27231340	Plant ID:268884	MESH:D004194	Positive
27231340	Plant ID:268884	MESH:D012216	Positive
27231340	Plant ID:268884	MESH:D009422	Positive
27231340	Plant ID:268884	MESH:D004194	Positive
27231340	Plant ID:268884	MESH:D012216	Positive
27231340	Plant ID:268884	MESH:D009422	Positive
26939657	Plant ID:57917	MESH:D005517	Negative
7450674	Plant ID:3972	MESH:D066126	Negative
8640910	Plant ID:4682	MESH:D063646	Positive
8640910	Plant ID:4679	MESH:D063646	Positive
8649632	Plant ID:3621	MESH:D005921	Positive
8649632	Plant ID:3621	MESH:D011507	Positive
8649632	Plant ID:3621	MESH:D005921	Positive
8666328	Plant ID:92921	MESH:D056486	Positive
8666328	Plant ID:92921	MESH:D056486	Positive
28173808	Plant ID:49212	MESH:D007022	Positive
22353011	Plant ID:4073	MESH:D009369	Positive
22360137	Plant ID:3483	MESH:D014581	Negative
22360137	Plant ID:3483	OMIM:613207	Negative
22366091	Plant ID:92921	MESH:D003920	Positive
22366091	Plant ID:92921	MESH:D003920	Positive
22373470	Plant ID:4097	MESH:D014376	Negative
22373470	Plant ID:4097	MESH:D014376	Negative
22374759	Plant ID:22663	MESH:D003643	Positive
22380404	Plant ID:151069	MESH:D007249	Negative
22382497	Plant ID:4097	MESH:D008175	Negative
22382497	Plant ID:4097	MESH:D009369	Negative
27060896	Plant ID:4081	MESH:D009369	Positive
28410222	Plant ID:4097	MESH:D009062	Negative
17256096	Plant ID:4577	MESH:D009050	Negative
19936622	Plant ID:4442	MESH:D009369	Positive
19936622	Plant ID:4442	MESH:D063646	Positive
25517489	Plant ID:280048	MESH:D056486	Positive
25521739	Plant ID:4682	MESH:D013272	Positive
25523370	Plant ID:4442	MESH:D003920	Positive
25523370	Plant ID:4442	MESH:D006943	Positive
25523370	Plant ID:4442	MESH:D003920	Positive
