pubchem-id	disease-id
938.0	MESH:D010383
938.0	MESH:D003925
938.0	MESH:D006951
938.0	MESH:D008881
938.0	MESH:D003072
938.0	MESH:D007938
938.0	MESH:D003324
938.0	MESH:D007249
938.0	MESH:D019446
938.0	MESH:D015428
938.0	MESH:D002340
938.0	MESH:D018476
938.0	MESH:D010146
938.0	MESH:D009203
938.0	MESH:D002418
938.0	MESH:D043171
938.0	MESH:D018781
938.0	MESH:D000544
938.0	MESH:D002972
1054.0	MESH:D005119
1054.0	MESH:D005155
1054.0	MESH:D004421
1054.0	MESH:D009336
1054.0	MESH:D004401
1054.0	MESH:D006527
1054.0	MESH:D012640
1054.0	MESH:D002653
1054.0	MESH:D003221
1054.0	MESH:D009886
1054.0	MESH:D009422
1054.0	MESH:D014397
1054.0	MESH:D011251
1054.0	MESH:D005533
1054.0	MESH:D000437
1054.0	MESH:D003389
1054.0	MESH:D011115
1054.0	MESH:D011618
1054.0	MESH:D000756
1054.0	MESH:D006948
1054.0	MESH:D015362
1054.0	MESH:D003680
1054.0	MESH:D002971
1054.0	MESH:D014376
1054.0	MESH:D020437
1054.0	MESH:D010292
1054.0	MESH:D001763
1054.0	MESH:D012559
1054.0	MESH:D003128
1054.0	MESH:D012871
1054.0	MESH:D013226
1054.0	MESH:D055985
1054.0	MESH:D010300
1054.0	MESH:D004890
1054.0	MESH:D010146
1054.0	MESH:D006229
1054.0	MESH:D010523
1054.0	MESH:D010302
1054.0	MESH:D002972
445354.0	MESH:D012127
445354.0	MESH:D009202
445354.0	MESH:D011559
445354.0	MESH:D006548
445354.0	MESH:D007232
445354.0	MESH:D009369
445354.0	MESH:D011565
445354.0	MESH:D018307
445354.0	MESH:D008171
445354.0	MESH:D001997
445354.0	MESH:D002386
445354.0	MESH:D000152
445354.0	MESH:D014802
445354.0	MESH:D006330
445354.0	MESH:D015362
445354.0	MESH:D008103
445354.0	MESH:D010859
445354.0	MESH:D003110
445354.0	MESH:D003316
445354.0	MESH:D007057
445354.0	MESH:D000740
445354.0	MESH:D012871
445354.0	MESH:D007414
445354.0	MESH:D018798
445354.0	MESH:D015658
445354.0	MESH:D008114
493570.0	MESH:D007249
493570.0	MESH:D015362
493570.0	MESH:D019954
493570.0	MESH:D009369
493570.0	MESH:D012871
493570.0	MESH:D002386
493570.0	MESH:D020521
493570.0	MESH:D001943
493570.0	MESH:D006261
493570.0	MESH:D015228
493570.0	MESH:D006951
493570.0	MESH:D008881
493570.0	MESH:D015179
6202.0	MESH:D000138
6202.0	MESH:D009202
6202.0	MESH:D015362
6202.0	MESH:D006501
6202.0	MESH:D000430
6202.0	MESH:D002386
6202.0	MESH:D002971
6202.0	MESH:D010146
6202.0	MESH:D006333
6202.0	MESH:D017240
6202.0	MESH:D001927
6202.0	MESH:D001714
6202.0	MESH:D007855
6202.0	MESH:D002524
6202.0	MESH:D002972
6202.0	MESH:D014899
962.0	MESH:D051437
962.0	MESH:D006417
5280934.0	MESH:D007249
5280934.0	MESH:D008569
5280934.0	MESH:D009422
5280934.0	MESH:D062025
5280934.0	MESH:D003866
5280934.0	MESH:D064420
5280934.0	MESH:D056486
5280934.0	MESH:D001930
5280934.0	MESH:D009069
5280489.0	MESH:D018450
5280489.0	MESH:D005910
5280489.0	MESH:D013272
5280489.0	MESH:D009369
5280489.0	MESH:D006528
5280489.0	MESH:D053627
5280489.0	MESH:D002545
5280489.0	MESH:D020261
5280489.0	MESH:D013276
5280489.0	MESH:D003930
5280489.0	MESH:D000435
5280489.0	MESH:D006526
5280489.0	MESH:D001145
5280489.0	MESH:D008175
5280489.0	MESH:D056486
5280489.0	MESH:D008113
5280489.0	MESH:D009845
5280489.0	MESH:D000740
5280489.0	MESH:D007964
5280489.0	MESH:D015658
5280489.0	MESH:D008114
637542.0	MESH:D008545
637542.0	MESH:D066126
637542.0	MESH:D009765
6508.0	MESH:D013276
449093.0	MESH:D000647
247.0	MESH:D007249
247.0	MESH:D008569
247.0	MESH:D020257
247.0	MESH:D006712
247.0	MESH:D013610
247.0	MESH:D008106
247.0	MESH:D008661
247.0	MESH:D056486
247.0	MESH:D009203
247.0	MESH:D017202
247.0	MESH:D009436
247.0	MESH:D008113
247.0	MESH:D003711
247.0	MESH:D005235
9064.0	MESH:D007333
9064.0	MESH:D019636
9064.0	MESH:D050197
9064.0	MESH:D008325
9064.0	MESH:D003556
9064.0	MESH:D015430
9064.0	MESH:D001943
9064.0	MESH:D056486
9064.0	MESH:D034381
9064.0	MESH:D009410
9064.0	MESH:D020138
9064.0	MESH:D009203
9064.0	MESH:D017114
9064.0	MESH:D008113
9064.0	MESH:D008107
9064.0	MESH:D002471
9064.0	MESH:D006331
9064.0	MESH:D009362
9064.0	MESH:D015658
1794427.0	MESH:D052456
1794427.0	MESH:D004108
1794427.0	MESH:D006937
1794427.0	MESH:D008545
1794427.0	MESH:D009336
1794427.0	MESH:D056486
1794427.0	MESH:D000647
1794427.0	MESH:D015228
1794427.0	MESH:D006951
1794427.0	MESH:D015431
305.0	MESH:D007249
305.0	MESH:D007859
305.0	MESH:D005234
305.0	MESH:D008569
305.0	MESH:D009845
305.0	MESH:D013733
305.0	MESH:D006528
305.0	MESH:D000647
305.0	MESH:D065626
305.0	MESH:D005235
305.0	MESH:D003072
305.0	MESH:D016137
68247.0	MESH:D012164
68247.0	MESH:D002471
5793.0	MESH:D013217
5793.0	MESH:D006948
5793.0	MESH:D006501
5793.0	MESH:D007680
5793.0	MESH:D008569
5793.0	MESH:D012878
5793.0	MESH:D008545
5793.0	MESH:D014652
5793.0	MESH:D007003
5793.0	MESH:D007022
5793.0	MESH:D010146
5793.0	MESH:D006947
5793.0	MESH:D000647
5793.0	MESH:D003921
5793.0	MESH:D015576
5793.0	MESH:D015228
5793.0	MESH:D007676
5793.0	MESH:D017118
5793.0	MESH:D003128
5793.0	MESH:D000307
68245.0	MESH:D012164
68245.0	MESH:D050197
68245.0	MESH:D009336
68245.0	MESH:D008103
68245.0	MESH:D006529
72276.0	MESH:D007333
72276.0	MESH:D019636
72276.0	MESH:D050197
72276.0	MESH:D008325
72276.0	MESH:D003556
72276.0	MESH:D015430
72276.0	MESH:D001943
72276.0	MESH:D056486
72276.0	MESH:D034381
72276.0	MESH:D009410
72276.0	MESH:D020138
72276.0	MESH:D009203
72276.0	MESH:D017114
72276.0	MESH:D008113
72276.0	MESH:D008107
72276.0	MESH:D002471
72276.0	MESH:D006331
72276.0	MESH:D009362
72276.0	MESH:D015658
65064.0	MESH:D001008
65064.0	MESH:D006973
65064.0	MESH:D011041
65064.0	MESH:D009336
65064.0	MESH:D011230
65064.0	MESH:D011658
65064.0	MESH:D008106
