common-names	food-name	food-id	food-category	scientific-name	tax-id
	Polianthes tuberosa	Plant ID:82206	Miscellaneous	Polianthes tuberosa	82206.0
yu zhu	Yu zhu	Plant ID:82207	Miscellaneous	Polygonatum odoratum	82207.0
	Dudleya pulverulenta	Plant ID:467237	Miscellaneous	Dudleya pulverulenta	467237.0
	Iris pseudacorus	Plant ID:82213	Miscellaneous	Iris pseudacorus	82213.0
golden bellapple	Golden bellapple	Plant ID:237862	Miscellaneous	Passiflora laurifolia	237862.0
	Passiflora ligularis	Plant ID:237863	Miscellaneous	Passiflora ligularis	237863.0
	Lens ervoides	Plant ID:41257	Miscellaneous	Lens ervoides	41257.0
	Lysimachia quadrifolia	Plant ID:213290	Miscellaneous	Lysimachia quadrifolia	213290.0
	Passiflora membranacea	Plant ID:237866	Miscellaneous	Passiflora membranacea	237866.0
	Polystichum aculeatum	Plant ID:983335	Miscellaneous	Polystichum aculeatum	983335.0
stone parsley	Stone parsley	Plant ID:1155366	Miscellaneous	Sison amomum	1155366.0
	Sorbus domestica	Plant ID:1155369	Miscellaneous	Sorbus domestica	1155369.0
shira kashi	Shira kashi	Plant ID:57648	Miscellaneous	Quercus myrsinifolia	57648.0
	Inocarpus fagifer	Plant ID:114993	Miscellaneous	Inocarpus fagifer	114993.0
amur maple; tatarian maple	Amur maple	Plant ID:57650	Miscellaneous	Acer tataricum	57650.0
moose maple; mountain maple	Moose maple	Plant ID:57652	Miscellaneous	Acer spicatum	57652.0
	Uvularia perfoliata	Plant ID:49461	Miscellaneous	Uvularia perfoliata	49461.0
dodan; chinese soapberry; soapnut; mukuroji	Dodan	Plant ID:57655	Miscellaneous	Sapindus mukorossi	57655.0
garden rocket; arugula	Garden rocket	Plant ID:180536	Miscellaneous	Eruca vesicaria	180536.0
field speedwell	Field speedwell	Plant ID:99384	Miscellaneous	Veronica agrestis	99384.0
	Mirabilis expansa	Plant ID:213308	Miscellaneous	Mirabilis expansa	213308.0
	Passiflora tetrandra	Plant ID:237885	Miscellaneous	Passiflora tetrandra	237885.0
	Cephalotaxus lanceolata	Plant ID:450881	Miscellaneous	Cephalotaxus lanceolata	450881.0
	Passiflora umbilicata	Plant ID:237891	Miscellaneous	Passiflora umbilicata	237891.0
water dock	Water dock	Plant ID:1470351	Miscellaneous	Rumex aquaticus	1470351.0
	Fedia cornucopiae	Plant ID:180554	Miscellaneous	Fedia cornucopiae	180554.0
	Gaultheria antipoda	Plant ID:672075	Miscellaneous	Gaultheria antipoda	672075.0
	Pinus teocote	Plant ID:71652	Miscellaneous	Pinus teocote	71652.0
	Bupleurum rotundifolium	Plant ID:90446	Miscellaneous	Bupleurum rotundifolium	90446.0
black walnut	Black walnut	Plant ID:16719	Miscellaneous	Juglans nigra	16719.0
	Dipsacus mitis	Plant ID:180559	Miscellaneous	Dipsacus mitis	180559.0
	Vesper montanus	Plant ID:90449	Miscellaneous	Vesper montanus	90449.0
	Gaultheria depressa	Plant ID:672078	Miscellaneous	Gaultheria depressa	672078.0
alpine wintergreen	Alpine wintergreen	Plant ID:672081	Miscellaneous	Gaultheria humifusa	672081.0
	Gaultheria insana	Plant ID:672082	Miscellaneous	Gaultheria insana	672082.0
witchgrass; witchgra; witchgras	Witchgrass	Plant ID:33109	Miscellaneous	Panicum capillare	33109.0
	Pterocarya rhoifolia	Plant ID:16723	Miscellaneous	Pterocarya rhoifolia	16723.0
gray leaf cherry	Gray leaf cherry	Plant ID:549207	Miscellaneous	Prunus canescens	549207.0
	Scabiosa columbaria	Plant ID:180561	Miscellaneous	Scabiosa columbaria	180561.0
chinchi uchu; piment chien; peruvian pepper; locoto; escabech; escabeche	Chinchi uchu	Plant ID:33114	Miscellaneous	Capsicum baccatum	33114.0
	Aster scaber	Plant ID:385370	Miscellaneous	Aster scaber	385370.0
mandrake	Mandrake	Plant ID:33117	Miscellaneous	Mandragora officinarum	33117.0
apple of peru; shoo fly plant	Apple of peru	Plant ID:33118	Miscellaneous	Nicandra physalodes	33118.0
	Adenophora divaricata	Plant ID:82271	Miscellaneous	Adenophora divaricata	82271.0
	Pelargonium peltatum	Plant ID:57694	Miscellaneous	Pelargonium peltatum	57694.0
japanese lantern; gua jin deng; hozuki; chinese lantern; winter cherry	Japanese lantern	Plant ID:33120	Miscellaneous	Physalis alkekengi	33120.0
	Lepidium sativum	Plant ID:33125	Herbs and Spices	Lepidium sativum	33125.0
	Adenophora stricta	Plant ID:82279	Miscellaneous	Adenophora stricta	82279.0
	Brucea antidysenterica	Plant ID:459111	Miscellaneous	Brucea antidysenterica	459111.0
clustered bellflower; dane's blood	Clustered bellflower	Plant ID:82281	Miscellaneous	Campanula glomerata	82281.0
spotted bellflower	Spotted bellflower	Plant ID:82282	Miscellaneous	Campanula punctata	82282.0
	Cyathea medullaris	Plant ID:450920	Miscellaneous	Cyathea medullaris	450920.0
abura tsubaki; tea oil plant	Abura tsubaki	Plant ID:385388	Miscellaneous	Camellia oleifera	385388.0
	Carex dispalata	Plant ID:418157	Miscellaneous	Carex dispalata	418157.0
mooseberry	Mooseberry	Plant ID:237934	Miscellaneous	Viburnum edule	237934.0
narrowleaf bittercres; narrowleaf bittercress; narrowleaf bittercre	Narrowleaf bittercres	Plant ID:82286	Miscellaneous	Cardamine impatiens	82286.0
	Cardamine pentaphyllos	Plant ID:82288	Miscellaneous	Cardamine pentaphyllos	82288.0
	Clematis buchananiana	Plant ID:1679725	Miscellaneous	Clematis buchananiana	1679725.0
glacier rose	Glacier rose	Plant ID:33138	Miscellaneous	Chamaenerion latifolium	33138.0
chameleon plant; dokudami	Chameleon plant	Plant ID:16752	Plant	Houttuynia cordata	16752.0
	Nasturtium microphyllum	Plant ID:82289	Miscellaneous	Nasturtium microphyllum	82289.0
felt leaf willow	Felt leaf willow	Plant ID:426348	Miscellaneous	Salix alaxensis	426348.0
	Actinidia fortunatii	Plant ID:1286518	Miscellaneous	Actinidia fortunatii	1286518.0
	Viburnum erosum	Plant ID:237937	Miscellaneous	Viburnum erosum	237937.0
	Actinidia henryi	Plant ID:1286520	Miscellaneous	Actinidia henryi	1286520.0
blue spruce; colorado spruce	Blue spruce	Plant ID:3331	Miscellaneous	Picea pungens	3331.0
kashmir plume; himalayan knotweed	Kashmir plume	Plant ID:467321	Miscellaneous	Koenigia polystachya	467321.0
	Actinidia rudis	Plant ID:1286523	Miscellaneous	Actinidia rudis	1286523.0
	Camellia chekiangoleosa	Plant ID:450940	Miscellaneous	Camellia chekiangoleosa	450940.0
	Actinidia venosa	Plant ID:1286525	Miscellaneous	Actinidia venosa	1286525.0
	Actinidia pilosula	Plant ID:1286526	Miscellaneous	Actinidia pilosula	1286526.0
sitka spruce	Sitka spruce	Plant ID:3332	Miscellaneous	Picea sitchensis	3332.0
cao ma huang; chinese ephedra	Cao ma huang	Plant ID:33152	Herbs and Spices	Ephedra sinica	33152.0
scrub pine	Scrub pine	Plant ID:71654	Miscellaneous	Pinus virginiana	71654.0
australian chestnut; moreton Bay chestnut	Australian chestnut	Plant ID:24962	Miscellaneous	Castanospermum australe	24962.0
red spruce	Red spruce	Plant ID:3333	Miscellaneous	Picea rubens	3333.0
	Picrasma excelsa	Plant ID:459139	Miscellaneous	Picrasma excelsa	459139.0
